AnimalID,Collar,Pen,Placement,Removal,"Lambing Time","Lambing Time(2nd)","Lambing Time(3rd)",Lambing Type,First lambing,Camera,Elapsed time,Filme(s) filename,Treat Data @WISEWARE,Assistance,Comments,Problems,,
10119,EEFE1C0DE6F2,14,26/4/24 8:35 PM,10/5/24 7:28 PM,09/05/2024 09:13:00,,,Single,,CH7,###############################################################################################################################################################################################################################################################,,YES,First,"Farm managers notes ""only one lamb is expected""; SN ""collar was placed wrong, I corrected making sure the arrow is pointing downwards, 5/02/2024  1:20:00 PM"", better disconsider after 9:10:35, because had help and lady had to come there to allow lamb feeding",InvCollar,POS_14_EEFE1C0DE6F2_2024-05-09T09.15.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_14_EEFE1C0DE6F2_2024-05-09T09.15.00+02.00_1__annotated_class_all.csv '09/05/2024 09:13:00'  '09/05/2024 09:13:00' ;
20315,EEFE1C0DE6F2,14,10/5/24 9:00 PM,16/5/24 2:52 PM,12/05/2024 14:10:00,,,Single,,CH7,,,YES @13-05-2024,,"Natural, relevant to learning model",none,POS_14_EEFE1C0DE6F2_2024-05-12T14.10.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_14_EEFE1C0DE6F2_2024-05-12T14.10.00+02.00_1__annotated_class_all.csv '12/05/2024 14:10:00'  '12/05/2024 14:10:00' ;
90208,C0077C8DC4D3,15,23/4/24 2:00 PM,5/5/24 2:15 PM,04/05/2024 07:53:37,04/05/2024 09:57:00,,Double,,CH8,2:03,Pen15_Chan08_Lambing240504_075337_095700,YES,None,,none,POS_15_C0077C8DC4D3_2024-05-04T07.53.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_15_C0077C8DC4D3_2024-05-04T07.53.00+02.00_2__annotated_class_all.csv '04/05/2024 07:53:37'  '04/05/2024 09:57:00' ;
10199,C0077C8DC4D3,15,5/5/24 2:30 PM,16/5/24 2:50 PM,10/05/2024 16:26:00,10/05/2024 17:07:00,10/05/2024 17:50:00,Triple,,CH8,,,YES @13-05-2024,,"Farm managers notes ""expecting three lambs"", first with help",none,POS_15_C0077C8DC4D3_2024-05-10T16.26.00+02.00_3__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_15_C0077C8DC4D3_2024-05-10T16.26.00+02.00_3__annotated_class_all.csv '10/05/2024 16:26:00'  '10/05/2024 17:50:00' ;
0102,DB89BB3E6BF3,16,23/4/24 2:00 PM,25/4/24 11:14 AM,23/04/2024 19:00:00,23/04/2024 19:00:00,,Double,,CH8,0:00,No Video Recorded,YES,,Missed lambing from the video recording. Motion detection on the camera surveillance needs to be turned off (24/4/24; 9:00AM). Farm manager noted lambing (23/4/24; 7:00PM).,MissVideo,POS_16_DB89BB3E6BF3_2024-04-23T19.00.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_16_DB89BB3E6BF3_2024-04-23T19.00.00+02.00_2__annotated_class_all.csv '23/04/2024 19:00:00'  '23/04/2024 19:00:00' ;
10239,DB89BB3E6BF3,16,25/4/24 9:22 PM,16/5/24 2:50 PM,08/05/2024 10:41:00,08/05/2024 11:37:30,,Double,,CH8,0:56,,YES,None,"SN ""collar was placed wrong, I corrected making sure the arrow is pointing downwards, 4/30/2024  12:24:00 PM"", both natural",InvCollar,POS_16_DB89BB3E6BF3_2024-05-08T10.41.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_16_DB89BB3E6BF3_2024-05-08T10.41.00+02.00_2__annotated_class_all.csv '08/05/2024 10:41:00'  '08/05/2024 11:37:30' ;
0283,FD731CBA7680,17,23/4/24 2:00 PM,26/4/24 7:11 PM,25/04/2024 08:32:42,25/04/2024 08:48:20,,Double,,CH9,0:15,Pen17_Chan09_Lambing240425_083242_084820,YES,First,"First lamb assisted, second lamb natural.",none,POS_17_FD731CBA7680_2024-04-25T08.32.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_17_FD731CBA7680_2024-04-25T08.32.00+02.00_2__annotated_class_all.csv '25/04/2024 08:32:42'  '25/04/2024 08:48:20' ;
10234,FD731CBA7680,17,26/4/24 8:35 PM,4/5/24 10:34 AM,02/05/2024 11:30:28,,,Single,,CH9,###############################################################################################################################################################################################################################################################,Pen17_Chan09_Lambing240502_113028_,YES,None,"Farm managers notes ""only one lamb is expected"". Inverted collar; ; SN ""collar was placed wrong, saw it after lambing, 5/02/2024  1:33:00 PM""",InvCollar,POS_17_FD731CBA7680_2024-05-02T11.30.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_17_FD731CBA7680_2024-05-02T11.30.00+02.00_1__annotated_class_all.csv '02/05/2024 11:30:28'  '02/05/2024 11:30:28' ;
20167,FD731CBA7680,17,5/5/24 2:30 PM,8/5/24 2:31 PM,06/05/2024 20:38:00,06/05/2024 20:46:27,,Double,,CH9,0:08,Pen17_Chan09_Lambing240506_203800_204627,YES,None,Both natural,none,POS_17_FD731CBA7680_2024-05-06T20.38.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_17_FD731CBA7680_2024-05-06T20.38.00+02.00_2__annotated_class_all.csv '06/05/2024 20:38:00'  '06/05/2024 20:46:27' ;
20371,FD731CBA7680,17,8/5/24 3:10 PM,21/5/24 9:43 AM,16/05/2024 14:10:55,16/05/2024 15:44:30,16/05/2024 15:45:29,Triple,,CH9,1:34,,YES @17-05-2024,,"Farm managers notes ""expecting three lambs"", first natural, 2nd and 3rd assisted",,POS_17_FD731CBA7680_2024-05-16T14.10.00+02.00_3__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_17_FD731CBA7680_2024-05-16T14.10.00+02.00_3__annotated_class_all.csv '16/05/2024 14:10:55'  '16/05/2024 15:45:29' ;
0404,E364083AF87C,18,23/4/24 2:00 PM,29/4/24 2:00 PM,26/04/2024 21:00:39,26/04/2024 21:17:36,,Double,,CH9,0:16,Pen18_Chan09_Lambing240426_210039_211736,YES,Both,"First assisted, second assisted",none,POS_18_E364083AF87C_2024-04-26T21.00.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_18_E364083AF87C_2024-04-26T21.00.00+02.00_2__annotated_class_all.csv '26/04/2024 21:00:39'  '26/04/2024 21:17:36' ;
20045,E364083AF87C,18,29/4/24 3:13 PM,10/5/24 7:24 PM,07/05/2024 22:00:00,,,Single,,CH9,###############################################################################################################################################################################################################################################################,Pen18_Chan09_Lambing240507_220000_,YES,None,"Farm managers notes ""only one lamb is expected"", No help; SN ""collar was placed wrong, I corrected making sure the arrow is pointing downwards, 5/02/2024  1:30:00 PM"", Natural",InvCollar,POS_18_E364083AF87C_2024-05-07T22.00.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_18_E364083AF87C_2024-05-07T22.00.00+02.00_1__annotated_class_all.csv '07/05/2024 22:00:00'  '07/05/2024 22:00:00' ;
80726,E6E4A48F10C1,18,10/5/24 9:00 PM,21/5/24 9:43 AM,16/05/2024 08:12:00,16/05/2024 08:27:00,,Double,,CH9,0:15,,YES @17-05-2024,,"SN""changed the collar F8:7C to 10:C1 on 15/5/24 12:35"", both natural",,POS_18_E6E4A48F10C1_2024-05-16T08.12.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_18_E6E4A48F10C1_2024-05-16T08.12.00+02.00_2__annotated_class_all.csv '16/05/2024 08:12:00'  '16/05/2024 08:27:00' ;
10289,FC2172B97EA8,19,23/4/24 2:00 PM,10/5/24 7:24 PM,05/05/2024 06:04:00,05/05/2024 06:28:00,,Double,,CH10,0:24,,YES,Both,Both assisted.,none,POS_19_FC2172B97EA8_2024-05-05T06.04.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_19_FC2172B97EA8_2024-05-05T06.04.00+02.00_2__annotated_class_all.csv '05/05/2024 06:04:00'  '05/05/2024 06:28:00' ;
30713,FC2172B97EA8,19,10/5/24 9:00 PM,16/5/24 2:54 PM,11/05/2024 07:34:00,11/05/2024 07:45:00,,Double,,CH10,0:11,,YES @13-05-2024,,Both Natural,,POS_19_FC2172B97EA8_2024-05-11T07.34.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_19_FC2172B97EA8_2024-05-11T07.34.00+02.00_2__annotated_class_all.csv '11/05/2024 07:34:00'  '11/05/2024 07:45:00' ;
10329,DFD7AEC9CE65,20,23/4/24 2:00 PM,16/5/24 2:57 PM,13/05/2024 21:26:30,13/05/2024 22:08:30,13/05/2024 23:11:00,Triple,,CH10,1:44,,YES @17-05-2024,,,none,POS_20_DFD7AEC9CE65_2024-05-13T21.26.00+02.00_3__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_20_DFD7AEC9CE65_2024-05-13T21.26.00+02.00_3__annotated_class_all.csv '13/05/2024 21:26:30'  '13/05/2024 23:11:00' ;
0026,C7F2D8E9B9F4,21,23/4/24 2:00 PM,29/4/24 2:01 PM,25/04/2024 17:25:59,25/04/2024 18:28:35,,Double,,CH11,1:02,Pen21_Chan11_Lambing240425_172559_182835,YES,None,Both natural,none,POS_21_C7F2D8E9B9F4_2024-04-25T17.25.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_21_C7F2D8E9B9F4_2024-04-25T17.25.00+02.00_2__annotated_class_all.csv '25/04/2024 17:25:59'  '25/04/2024 18:28:35' ;
20839,C7F2D8E9B9F4,21,29/4/24 3:07 PM,30/4/24 9:51 PM,29/04/2024 23:14:21,,,Single,,CH11,###############################################################################################################################################################################################################################################################,Pen21_Chan11_Lambing240429_231421_,YES,None,"First natural; Farm managers notes ""only one lamb is expected, SPAEL breed lamb"" ;SN ""collar was placed wrong, I noticed after lambing""",InvCollar,POS_21_C7F2D8E9B9F4_2024-04-29T23.14.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_21_C7F2D8E9B9F4_2024-04-29T23.14.00+02.00_1__annotated_class_all.csv '29/04/2024 23:14:21'  '29/04/2024 23:14:21' ;
00793,C7F2D8E9B9F4,21,30/4/24 10:03 PM,4/5/24 10:34 AM,02/05/2024 15:01:30,,,Single,,CH11,###############################################################################################################################################################################################################################################################,Pen21_Chan11_Lambing240502_150130_,YES,First,"Inverted collar; SN ""collar was placed wrong, saw it after lambing, 5/03/2024  1:45:00 PM"", with strong help",InvCollar,POS_21_C7F2D8E9B9F4_2024-05-02T17.05.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_21_C7F2D8E9B9F4_2024-05-02T17.05.00+02.00_1__annotated_class_all.csv '02/05/2024 15:01:30'  '02/05/2024 15:01:30' ;
00082,C7F2D8E9B9F4,21,5/5/24 2:30 PM,21/5/24 9:43 AM,16/05/2024 17:27:00,16/05/2024 17:46:15,,Double,,CH11,0:19,,YES @17-05-2024,,Both natural,none,POS_21_C7F2D8E9B9F4_2024-05-16T17.27.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_21_C7F2D8E9B9F4_2024-05-16T17.27.00+02.00_2__annotated_class_all.csv '16/05/2024 17:27:00'  '16/05/2024 17:46:15' ;
20191,C2A6EB3E97CE,23,21/5/24 8:17 PM,27/5/24 2:51 PM,24/05/2024 16:04:52,24/05/2024 16:15:00,24/05/2024 16:26:30,Triple,,CH12,,,YES @24-05-2024,,"Natural; SN ""the pen was not 21, it was 23. I change 5/27/2024 3:11PM""",,POS_23_C2A6EB3E97CE_2024-05-24T16.04.00+02.00_3__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_23_C2A6EB3E97CE_2024-05-24T16.04.00+02.00_3__annotated_class_all.csv '24/05/2024 16:04:52'  '24/05/2024 16:26:30' ;
0235,D7435EF886F6,22,23/4/24 2:00 PM,26/4/24 7:39 PM,25/04/2024 14:03:03,25/04/2024 16:01:37,,Double,,CH11,1:58,Pen22_Chan11_Lambing240425_140303_160137,YES,First,"First assisted, second natural",none,POS_22_D7435EF886F6_2024-04-25T14.03.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_22_D7435EF886F6_2024-04-25T14.03.00+02.00_2__annotated_class_all.csv '25/04/2024 14:03:03'  '25/04/2024 16:01:37' ;
20290,D7435EF886F6,22,26/4/24 8:35 PM,30/4/24 9:42 PM,29/04/2024 11:56:27,,,Single,,CH11,###############################################################################################################################################################################################################################################################,Pen22_Chan11_Lambing240429_115627_,YES,First,"Assisted; Farm managers notes ""only one lamb is expected""; SN ""lambing time 4/29/2024  4:12:30 PM changed to 4/29/2024 11:56:27 AM corrected  5/06/2024 9:15:00 AM""",none,POS_22_D7435EF886F6_2024-04-29T11.56.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_22_D7435EF886F6_2024-04-29T11.56.00+02.00_1__annotated_class_all.csv '29/04/2024 11:56:27'  '29/04/2024 11:56:27' ;
00745,D7435EF886F6,22,30/4/24 10:03 PM,4/5/24 10:34 AM,03/05/2024 15:13:44,,,Single,,CH11,###############################################################################################################################################################################################################################################################,Pen22_Chan11_Lambing240503_151344_,YES,First,"SN ""collar was placed wrong, I corrected making sure the arrow is pointing downwards, 5/02/2024 1:30:00 PM"", lamb With help",InvCollar,POS_22_D7435EF886F6_2024-05-03T15.13.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_22_D7435EF886F6_2024-05-03T15.13.00+02.00_1__annotated_class_all.csv '03/05/2024 15:13:44'  '03/05/2024 15:13:44' ;
00194,D7435EF886F6,22,5/5/24 2:30 PM,8/5/24 2:31 PM,06/05/2024 21:15:00,06/05/2024 22:14:00,,Double,,CH11,,,YES,First,"First assisted, second natural",none,POS_22_D7435EF886F6_2024-05-06T21.15.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_22_D7435EF886F6_2024-05-06T21.15.00+02.00_2__annotated_class_all.csv '06/05/2024 21:15:00'  '06/05/2024 22:14:00' ;
20302,D7435EF886F6,22,8/5/24 3:10 PM,10/5/24 7:19 PM,09/05/2024 01:37:00,09/05/2024 01:39:00,,Double,,CH11,,,YES,Both,"Aided in both, intervention from 1:36",,POS_22_D7435EF886F6_2024-05-09T01.37.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_22_D7435EF886F6_2024-05-09T01.37.00+02.00_2__annotated_class_all.csv '09/05/2024 01:37:00'  '09/05/2024 01:39:00' ;
30433,D7435EF886F6,22,10/5/24 9:00 PM,21/5/24 9:43 AM,19/05/2024 05:00:00,19/05/2024 06:00:00,,Double,,CH11,1:00,,YES @24-05-2024,,both natural,,POS_22_D7435EF886F6_2024-05-19T05.00.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_22_D7435EF886F6_2024-05-19T05.00.00+02.00_2__annotated_class_all.csv '19/05/2024 05:00:00'  '19/05/2024 06:00:00' ;
0132,DB311ED1553E,23,23/4/24 2:00 PM,29/4/24 2:00 PM,28/04/2024 14:18:53,28/04/2024 14:47:23,,Double,,CH12,0:28,Pen23_Chan12_Lambing240428_141853_144723,YES,First,"first assisted, second natural",none,POS_23_DB311ED1553E_2024-04-28T14.18.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_23_DB311ED1553E_2024-04-28T14.18.00+02.00_2__annotated_class_all.csv '28/04/2024 14:18:53'  '28/04/2024 14:47:23' ;
00860,DB311ED1553E,23,29/4/24 3:13 PM,8/5/24 2:31 PM,07/05/2024 09:38:00,,,Single,,CH12,###############################################################################################################################################################################################################################################################,,YES,First,"Farm managers notes ""only one lamb is expected""; SN ""collar was placed wrong, I corrected making sure the arrow is pointing downwards, 5/02/2024 1:40:00 PM"", Assisted",InvCollar,POS_23_DB311ED1553E_2024-05-07T09.38.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_23_DB311ED1553E_2024-05-07T09.38.00+02.00_1__annotated_class_all.csv '07/05/2024 09:38:00'  '07/05/2024 09:38:00' ;
10430,DB311ED1553E,23,8/5/24 3:10 PM,16/5/24 2:52 PM,09/05/2024 11:05:55,09/05/2024 11:38:00,,Double,,CH12,,,YES,Both,"Aided in both, intervention from 10:55",,POS_23_DB311ED1553E_2024-05-09T11.05.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_23_DB311ED1553E_2024-05-09T11.05.00+02.00_2__annotated_class_all.csv '09/05/2024 11:05:55'  '09/05/2024 11:38:00' ;
00112,C7FC913A6A06,24,25/4/24 9:30 PM,27/5/24 2:51 PM,23/05/2024 07:48:00,23/05/2024 08:48:00,,Double,,CH12,1:00,,YES @24-05-2024,,"Assisted  first, second natural",,POS_24_C7FC913A6A06_2024-05-23T07.48.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_24_C7FC913A6A06_2024-05-23T07.48.00+02.00_2__annotated_class_all.csv '23/05/2024 07:48:00'  '23/05/2024 08:48:00' ;
